                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6136,                 1.6877,                 0.9671,                0.64395,                0.82139,                0.69158,                0.61475,                0.40955,                 1.3688,                 0.8941,             0.00047184,             0.00047184,             0.00047184
                      2,                0.53878,                 1.0544,                0.92055,                0.72053,                0.63894,                0.75681,                0.57437,                0.69343,                 1.5616,                 1.0331,              0.0009294,              0.0009294,              0.0009294
                      3,                0.52671,                0.91565,                0.91593,                0.81509,                 0.8023,                0.85966,                0.77282,                0.39096,                0.89432,                0.84978,              0.0013681,              0.0013681,              0.0013681
                      4,                0.52532,                0.80431,                0.91026,                0.75726,                0.83446,                0.88151,                0.78873,                0.41539,                0.67777,                0.86396,              0.0013441,              0.0013441,              0.0013441
                      5,                0.49004,                0.71101,                 0.9061,                0.81187,                0.86605,                0.88813,                0.75853,                0.42956,                0.60383,                0.87487,              0.0013441,              0.0013441,              0.0013441
                      6,                0.46619,                0.65575,                0.89722,                0.75937,                0.87854,                0.90377,                0.81834,                 0.3685,                0.54381,                0.83443,              0.0013158,              0.0013158,              0.0013158
                      7,                0.45361,                 0.6007,                0.88975,                0.89489,                0.90652,                0.95469,                0.89361,                0.29925,                0.41862,                0.81287,              0.0012875,              0.0012875,              0.0012875
                      8,                0.43202,                0.58187,                0.88145,                0.90344,                 0.8875,                0.95379,                0.88977,                0.29223,                0.38461,                0.81485,              0.0012592,              0.0012592,              0.0012592
                      9,                0.42896,                0.57925,                0.88934,                  0.922,                0.89238,                0.95432,                0.90635,                0.28296,                 0.3946,                 0.8177,              0.0012309,              0.0012309,              0.0012309
                     10,                0.43794,                 0.5753,                0.89558,                0.87608,                0.90585,                0.95389,                0.88659,                0.31275,                0.38197,                 0.8181,              0.0012026,              0.0012026,              0.0012026
                     11,                0.41902,                0.54296,                0.88648,                0.89084,                0.90175,                0.95199,                 0.9079,                0.28167,                0.37046,                0.81056,              0.0011744,              0.0011744,              0.0011744
                     12,                0.40507,                 0.5156,                0.87777,                0.90676,                0.90763,                0.95695,                0.89554,                0.28103,                0.36023,                0.81316,              0.0011461,              0.0011461,              0.0011461
                     13,                 0.4135,                0.51362,                 0.8872,                0.91501,                0.92131,                0.95272,                0.89451,                0.29057,                 0.3574,                0.81557,              0.0011178,              0.0011178,              0.0011178
                     14,                0.39984,                0.47949,                0.87701,                0.92494,                0.94711,                0.96966,                0.93155,                0.25238,                0.28416,                0.79776,              0.0010895,              0.0010895,              0.0010895
                     15,                0.38458,                0.46985,                0.87361,                 0.9117,                0.94711,                0.96232,                0.92887,                0.24587,                0.30278,                0.79588,              0.0010612,              0.0010612,              0.0010612
                     16,                0.38718,                0.46335,                0.87288,                0.96151,                0.93528,                 0.9722,                0.93124,                0.24499,                0.29596,                0.80285,              0.0010329,              0.0010329,              0.0010329
                     17,                0.38283,                0.45401,                0.87159,                0.93214,                0.94546,                0.96905,                0.93335,                0.24877,                0.27065,                0.79388,              0.0010046,              0.0010046,              0.0010046
                     18,                0.37718,                0.44604,                0.87112,                0.94773,                0.91755,                0.96582,                0.92373,                0.26973,                0.30075,                  0.804,             0.00097629,             0.00097629,             0.00097629
                     19,                0.37769,                  0.453,                0.87542,                0.96019,                 0.9536,                0.97724,                0.94658,                0.23962,                0.26688,                0.79216,               0.000948,               0.000948,               0.000948
                     20,                0.36716,                0.41587,                0.87137,                0.92017,                0.93151,                0.96089,                0.93146,                0.22502,                0.30664,                 0.7896,              0.0009197,              0.0009197,              0.0009197
                     21,                0.35812,                0.41612,                0.86665,                0.95914,                0.93918,                0.97821,                0.94826,                0.23425,                0.26029,                0.79414,             0.00089141,             0.00089141,             0.00089141
                     22,                0.36335,                 0.4225,                0.87231,                0.97542,                0.94439,                0.98145,                0.94547,                0.23375,                 0.2444,                0.79217,             0.00086312,             0.00086312,             0.00086312
