                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58739,                 1.4582,                0.97667,                0.30833,                0.34287,                0.25259,                0.15534,                 1.2398,                 3.6828,                 1.6917,             0.00047184,             0.00047184,             0.00047184
                      2,                0.59771,                0.87909,                0.97213,                0.66454,                0.70787,                0.68437,                  0.518,                0.72824,                 1.6837,                 1.2157,             0.00093879,             0.00093879,             0.00093879
                      3,                0.60265,                0.83212,                0.97961,                0.61186,                0.61176,                0.62714,                0.52945,                0.55461,                 1.6314,                 1.0111,              0.0013963,              0.0013963,              0.0013963
                      4,                0.57278,                0.74337,                0.96735,                0.77885,                0.79244,                0.84393,                0.70886,                0.54471,                0.78951,                 1.0082,              0.0013866,              0.0013866,              0.0013866
                      5,                0.53135,                0.67168,                 0.9506,                0.74816,                0.76242,                0.80703,                0.68608,                0.52618,                0.78701,                 0.9888,              0.0013866,              0.0013866,              0.0013866
                      6,                0.49308,                0.64055,                0.93602,                0.74327,                0.73418,                0.78924,                0.68769,                0.48644,                0.85507,                0.96723,              0.0013724,              0.0013724,              0.0013724
                      7,                0.48178,                0.57727,                0.92124,                0.83744,                0.83074,                0.87277,                0.74576,                 0.4837,                0.56145,                0.95581,              0.0013583,              0.0013583,              0.0013583
                      8,                0.46357,                0.54695,                0.91551,                0.89467,                0.84842,                0.92839,                0.83815,                0.40846,                 0.4861,                0.88449,              0.0013441,              0.0013441,              0.0013441
                      9,                 0.4529,                0.57304,                0.91992,                0.63634,                0.82501,                0.77596,                0.69235,                0.42341,                 1.0552,                0.94238,                0.00133,                0.00133,                0.00133
                     10,                0.44391,                0.52727,                0.91754,                 0.8869,                0.85972,                  0.919,                0.83784,                0.37491,                0.41655,                0.88169,              0.0013158,              0.0013158,              0.0013158
                     11,                0.43037,                0.50872,                0.90869,                0.87362,                0.90904,                 0.9359,                0.86022,                0.37306,                0.42075,                0.88248,              0.0013017,              0.0013017,              0.0013017
                     12,                0.40905,                0.48943,                0.89941,                0.89773,                0.92203,                0.95575,                0.88533,                0.34769,                 0.3601,                 0.8517,              0.0012875,              0.0012875,              0.0012875
                     13,                 0.4061,                0.48992,                0.89925,                0.89449,                0.85966,                0.92837,                0.81586,                0.44014,                0.49109,                0.93614,              0.0012734,              0.0012734,              0.0012734
                     14,                0.40589,                0.46894,                0.90202,                0.92487,                0.87472,                0.94991,                0.88636,                0.31511,                0.37372,                0.83993,              0.0012592,              0.0012592,              0.0012592
                     15,                 0.3879,                0.45279,                0.89394,                0.92395,                 0.8933,                0.95081,                0.88924,                0.32399,                0.38439,                0.84628,              0.0012451,              0.0012451,              0.0012451
                     16,                0.39075,                0.45038,                0.89529,                0.87238,                0.92699,                0.92556,                0.85163,                0.35391,                0.39703,                0.88635,              0.0012309,              0.0012309,              0.0012309
                     17,                0.38536,                0.43483,                0.88813,                0.89859,                0.91313,                0.94763,                0.90295,                0.28108,                0.36531,                0.83521,              0.0012168,              0.0012168,              0.0012168
                     18,                0.37457,                0.43894,                0.88593,                0.91851,                0.87916,                0.94136,                0.89071,                0.28616,                0.33735,                0.83223,              0.0012026,              0.0012026,              0.0012026
                     19,                0.36841,                 0.4255,                0.88676,                 0.8518,                 0.8158,                0.88064,                0.71945,                 0.5146,                0.53833,                  1.019,              0.0011885,              0.0011885,              0.0011885
                     20,                0.36915,                0.41472,                0.88232,                0.88905,                0.88518,                0.93126,                0.88538,                0.28613,                0.34817,                0.83587,              0.0011744,              0.0011744,              0.0011744
                     21,                 0.3603,                0.42417,                0.87684,                 0.8688,                0.92288,                0.92906,                0.88032,                0.28667,                0.37943,                0.83706,              0.0011602,              0.0011602,              0.0011602
                     22,                0.36564,                0.40778,                 0.8822,                0.90315,                 0.9359,                0.95832,                 0.9167,                0.28993,                0.30629,                0.82052,              0.0011461,              0.0011461,              0.0011461
                     23,                0.34341,                0.39211,                0.86813,                0.91501,                0.89218,                0.95628,                0.90164,                0.29376,                 0.3247,                0.83875,              0.0011319,              0.0011319,              0.0011319
                     24,                0.34321,                0.38832,                0.87385,                0.89912,                0.95313,                0.97577,                0.92961,                0.26296,                0.28236,                0.82514,              0.0011178,              0.0011178,              0.0011178
                     25,                0.33334,                0.37179,                0.87324,                0.93398,                0.94247,                0.96539,                0.91242,                0.30304,                0.31308,                 0.8317,              0.0011036,              0.0011036,              0.0011036
                     26,                0.33361,                 0.3633,                0.86826,                0.91466,                0.94988,                0.97016,                 0.9292,                0.26518,                0.28451,                0.82139,              0.0010895,              0.0010895,              0.0010895
                     27,                0.34441,                0.35249,                  0.877,                0.93397,                0.94795,                0.97584,                0.94754,                0.23862,                0.26419,                0.80676,              0.0010753,              0.0010753,              0.0010753
                     28,                0.32685,                 0.3601,                0.86616,                0.88371,                0.94372,                0.96649,                0.92925,                0.26294,                0.29193,                0.82158,              0.0010612,              0.0010612,              0.0010612
                     29,                0.32713,                0.35368,                0.86814,                0.93174,                0.94582,                0.96445,                0.92757,                0.25758,                 0.2754,                0.81072,               0.001047,               0.001047,               0.001047
                     30,                0.34331,                0.36582,                 0.8782,                0.93179,                0.93503,                0.96425,                0.90743,                 0.2923,                0.29961,                0.84111,              0.0010329,              0.0010329,              0.0010329
                     31,                 0.3308,                0.35189,                0.87036,                0.91965,                0.95197,                0.97223,                0.94529,                0.23497,                0.27684,                0.80979,              0.0010187,              0.0010187,              0.0010187
                     32,                0.31663,                0.33978,                0.86366,                0.92901,                0.92087,                0.95625,                0.90197,                0.29099,                 0.2974,                 0.8434,              0.0010046,              0.0010046,              0.0010046
                     33,                0.32453,                0.34918,                 0.8681,                 0.9471,                0.92909,                0.96228,                0.92135,                0.28321,                0.31586,                0.82849,             0.00099044,             0.00099044,             0.00099044
                     34,                0.31135,                 0.3374,                0.86375,                0.94133,                0.91918,                0.96477,                0.92754,                0.25822,                0.29091,                0.82147,             0.00097629,             0.00097629,             0.00097629
                     35,                0.31256,                0.34685,                0.86349,                0.95405,                0.93833,                0.97844,                0.95744,                0.21898,                0.23303,                0.80066,             0.00096215,             0.00096215,             0.00096215
                     36,                 0.3068,                0.32367,                0.85891,                0.91156,                0.92617,                0.96858,                0.94806,                0.23017,                0.27605,                0.80569,               0.000948,               0.000948,               0.000948
                     37,                0.31461,                0.32881,                0.86176,                0.94846,                0.96522,                0.98033,                0.95447,                0.22648,                0.22178,                0.80638,             0.00093385,             0.00093385,             0.00093385
                     38,                0.30833,                0.31614,                0.86523,                0.93734,                0.93037,                0.96653,                 0.9248,                0.26046,                0.27222,                0.82043,              0.0009197,              0.0009197,              0.0009197
                     39,                0.31703,                0.33562,                0.86204,                0.94808,                 0.9641,                0.97915,                0.95372,                0.22981,                0.22928,                0.80534,             0.00090556,             0.00090556,             0.00090556
                     40,                0.30751,                0.31981,                0.86021,                0.92433,                0.94077,                0.97325,                0.92593,                0.26453,                0.26032,                0.83043,             0.00089141,             0.00089141,             0.00089141
                     41,                0.29753,                0.31735,                0.85808,                0.96447,                0.93996,                0.97624,                0.95011,                0.22514,                0.23806,                0.80521,             0.00087726,             0.00087726,             0.00087726
                     42,                0.30473,                0.31878,                0.86221,                0.94271,                0.92036,                0.97212,                0.93195,                0.27453,                0.29338,                0.82516,             0.00086312,             0.00086312,             0.00086312
                     43,                0.30239,                0.34822,                 0.8622,                0.94139,                0.92393,                0.96828,                0.94676,                0.21667,                 0.2791,                0.80277,             0.00084897,             0.00084897,             0.00084897
                     44,                0.30327,                0.30937,                0.86011,                 0.9407,                0.97283,                 0.9778,                0.95161,                0.22483,                0.21722,                0.80278,             0.00083482,             0.00083482,             0.00083482
                     45,                0.28595,                0.30153,                0.85799,                0.94431,                0.91631,                0.96927,                0.94449,                0.22255,                0.24423,                0.80794,             0.00082067,             0.00082067,             0.00082067
                     46,                 0.2908,                0.30863,                0.85821,                 0.9593,                0.95966,                0.98116,                0.96412,                0.19959,                0.21197,                0.79631,             0.00080653,             0.00080653,             0.00080653
                     47,                0.28473,                0.29134,                 0.8544,                0.94716,                0.96746,                0.97538,                0.95172,                0.22566,                0.21556,                0.80274,             0.00079238,             0.00079238,             0.00079238
                     48,                0.27988,                0.29827,                0.85049,                0.96078,                0.94657,                0.98216,                0.95689,                0.21692,                0.21877,                0.80821,             0.00077823,             0.00077823,             0.00077823
                     49,                0.28435,                0.28678,                0.85659,                0.95485,                0.95637,                0.97771,                0.95715,                0.21864,                0.21933,                0.79823,             0.00076409,             0.00076409,             0.00076409
                     50,                0.28587,                0.28169,                0.85335,                0.94902,                0.93809,                0.97374,                0.95499,                0.20488,                0.22178,                0.79962,             0.00074994,             0.00074994,             0.00074994
                     51,                0.28372,                  0.285,                0.85221,                0.95458,                0.94113,                0.97778,                0.95329,                0.23471,                0.22287,                0.80315,             0.00073579,             0.00073579,             0.00073579
                     52,                0.28233,                0.28892,                0.85234,                0.95593,                0.96061,                0.98173,                0.96458,                0.20891,                0.19988,                0.79534,             0.00072164,             0.00072164,             0.00072164
                     53,                0.27396,                0.26752,                0.84854,                0.96287,                0.94846,                0.98089,                0.96483,                0.20523,                0.21056,                0.79718,              0.0007075,              0.0007075,              0.0007075
                     54,                0.27706,                0.27898,                0.85445,                0.94991,                0.95927,                0.98065,                0.96389,                0.20154,                0.19984,                0.80039,             0.00069335,             0.00069335,             0.00069335
                     55,                0.26949,                0.27464,                0.84511,                0.96374,                0.95858,                 0.9795,                0.96659,                0.19712,                 0.1977,                0.79502,              0.0006792,              0.0006792,              0.0006792
                     56,                0.27428,                0.26307,                0.84917,                0.95059,                0.94129,                0.98309,                0.97233,                0.20021,                 0.2135,                0.79693,             0.00066506,             0.00066506,             0.00066506
                     57,                0.26243,                0.26945,                0.85134,                0.93883,                0.96931,                0.98188,                0.96643,                0.19769,                0.19784,                 0.7957,             0.00065091,             0.00065091,             0.00065091
                     58,                0.26664,                0.26624,                0.84791,                0.97351,                0.95603,                0.98261,                0.97071,                0.19534,                0.18968,                0.79236,             0.00063676,             0.00063676,             0.00063676
                     59,                0.26574,                0.25685,                0.84841,                0.96339,                0.96077,                0.98449,                0.97107,                0.19673,                0.18909,                0.79691,             0.00062262,             0.00062262,             0.00062262
                     60,                0.26164,                0.25712,                0.85086,                0.94969,                0.96765,                 0.9818,                0.97253,                0.18513,                 0.1924,                0.79142,             0.00060847,             0.00060847,             0.00060847
                     61,                0.26395,                0.25775,                0.84989,                 0.9743,                0.96782,                0.98133,                0.96902,                0.18624,                0.18395,                0.79143,             0.00059432,             0.00059432,             0.00059432
                     62,                0.26288,                0.25676,                0.84913,                0.96568,                0.95672,                0.98283,                0.96908,                0.19315,                0.19166,                0.79024,             0.00058017,             0.00058017,             0.00058017
                     63,                0.25852,                0.25669,                0.84547,                0.96287,                 0.9586,                0.98378,                0.96701,                0.19994,                 0.1848,                0.79508,             0.00056603,             0.00056603,             0.00056603
                     64,                0.26828,                0.25365,                0.84704,                0.94585,                0.95831,                0.98412,                0.96799,                0.19123,                0.19067,                0.79102,             0.00055188,             0.00055188,             0.00055188
                     65,                0.25644,                0.24681,                0.84493,                0.95699,                0.96048,                0.98291,                0.96931,                0.19171,                0.19605,                0.79113,             0.00053773,             0.00053773,             0.00053773
