                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0552,                 1.7639,                 2.0749,                0.60413,                0.71362,                0.66406,                 0.4028,                 1.2039,                 1.1005,                 2.6115,             0.00047184,             0.00047184,             0.00047184
                      2,                0.74094,                0.99052,                 1.8153,                0.74439,                0.77245,                 0.8106,                0.48453,                 1.1623,                0.84877,                 2.7763,             0.00093879,             0.00093879,             0.00093879
                      3,                0.70696,                0.86662,                 1.7806,                0.75674,                0.85136,                0.82923,                0.51512,                 1.1683,                0.82092,                 2.7857,              0.0013963,              0.0013963,              0.0013963
                      4,                0.64853,                0.76708,                 1.7234,                0.69042,                0.77659,                0.80618,                 0.5045,                 1.1811,                0.97557,                 3.0554,              0.0013866,              0.0013866,              0.0013866
                      5,                0.62191,                0.70196,                 1.6978,                0.84947,                0.86442,                0.93227,                0.57148,                  1.196,                0.68367,                 3.4414,              0.0013866,              0.0013866,              0.0013866
                      6,                0.61974,                0.70327,                 1.7009,                0.84577,                0.86968,                0.91016,                0.57741,                  1.126,                0.71892,                 3.3067,              0.0013724,              0.0013724,              0.0013724
                      7,                0.58958,                0.63726,                 1.6629,                0.88167,                0.87695,                0.92203,                0.57167,                 1.1414,                0.66274,                  3.255,              0.0013583,              0.0013583,              0.0013583
                      8,                0.55709,                0.62077,                 1.6351,                0.86213,                0.90854,                0.90977,                0.53781,                 1.1391,                0.65384,                 3.2905,              0.0013441,              0.0013441,              0.0013441
                      9,                0.56318,                0.60835,                 1.6221,                0.82855,                0.89223,                0.91562,                0.58876,                 1.1396,                0.67223,                 3.8475,                0.00133,                0.00133,                0.00133
                     10,                0.56701,                0.60376,                 1.6542,                 0.9181,                0.87927,                0.93293,                0.60369,                 1.1826,                0.63198,                 3.8102,              0.0013158,              0.0013158,              0.0013158
                     11,                0.53528,                0.58124,                 1.6194,                0.90802,                 0.9242,                0.96613,                0.62386,                 1.1192,                0.56738,                 3.6427,              0.0013017,              0.0013017,              0.0013017
                     12,                0.52426,                  0.546,                 1.5816,                0.88187,                0.91112,                0.93465,                0.60372,                 1.0874,                0.58402,                  3.529,              0.0012875,              0.0012875,              0.0012875
                     13,                 0.5313,                 0.5571,                 1.6046,                0.91402,                0.89162,                0.94508,                0.62846,                 1.1054,                0.56407,                 3.4265,              0.0012734,              0.0012734,              0.0012734
                     14,                0.52694,                 0.5434,                 1.5881,                0.88913,                0.92586,                0.94896,                0.58684,                 1.1118,                0.58343,                 3.7889,              0.0012592,              0.0012592,              0.0012592
                     15,                0.50985,                0.53693,                 1.5604,                0.91989,                0.91136,                0.95138,                  0.632,                 1.0783,                0.56285,                 3.6304,              0.0012451,              0.0012451,              0.0012451
                     16,                0.52367,                 0.5316,                 1.5866,                 0.9215,                0.92896,                0.96443,                 0.6332,                 1.0961,                0.53878,                 3.9175,              0.0012309,              0.0012309,              0.0012309
                     17,                0.50382,                0.51112,                 1.5426,                0.90047,                0.92641,                0.94734,                0.62436,                 1.0836,                0.56108,                 3.7876,              0.0012168,              0.0012168,              0.0012168
                     18,                0.50754,                0.50963,                 1.5586,                0.90157,                0.91407,                0.96304,                 0.6283,                 1.1219,                0.55455,                 3.8776,              0.0012026,              0.0012026,              0.0012026
                     19,                0.50006,                0.49973,                 1.5572,                0.91531,                0.94574,                0.96665,                0.61007,                 1.1117,                0.53974,                 4.0383,              0.0011885,              0.0011885,              0.0011885
                     20,                0.48169,                0.49096,                  1.547,                0.92844,                0.92206,                0.96086,                0.62505,                 1.1545,                  0.552,                 4.0495,              0.0011744,              0.0011744,              0.0011744
                     21,                0.48065,                0.49352,                 1.5432,                0.93676,                0.92491,                  0.957,                0.62315,                 1.0951,                0.53976,                 3.9358,              0.0011602,              0.0011602,              0.0011602
                     22,                0.48645,                0.48826,                 1.5714,                0.91359,                0.89607,                0.95951,                 0.6473,                 1.1099,                0.55403,                  3.985,              0.0011461,              0.0011461,              0.0011461
                     23,                0.47273,                 0.4848,                 1.5189,                0.90799,                0.91066,                0.94838,                0.62425,                 1.1319,                0.59409,                  4.066,              0.0011319,              0.0011319,              0.0011319
                     24,                0.47373,                0.48063,                 1.5311,                0.94654,                0.92035,                0.96066,                0.62282,                 1.1393,                0.54724,                 3.9838,              0.0011178,              0.0011178,              0.0011178
                     25,                0.47278,                 0.4676,                 1.5029,                0.94525,                0.92684,                0.96194,                0.64744,                 1.0719,                0.51205,                 3.7789,              0.0011036,              0.0011036,              0.0011036
                     26,                0.44888,                0.44233,                 1.4898,                0.93117,                0.95375,                0.96719,                0.65011,                 1.0613,                0.49028,                 3.8983,              0.0010895,              0.0010895,              0.0010895
                     27,                0.46923,                0.44559,                 1.4992,                0.92318,                 0.9008,                0.96295,                 0.6389,                 1.1318,                0.53771,                 4.0647,              0.0010753,              0.0010753,              0.0010753
                     28,                0.45724,                0.44708,                 1.5351,                0.93613,                0.91545,                0.96525,                0.66046,                 1.0808,                0.51042,                 3.9979,              0.0010612,              0.0010612,              0.0010612
                     29,                0.45711,                0.44407,                 1.5084,                 0.9363,                0.93649,                0.97421,                0.65375,                 1.1023,                0.52296,                 4.1397,               0.001047,               0.001047,               0.001047
                     30,                0.46235,                 0.4595,                 1.5136,                0.89491,                0.86632,                0.92704,                0.61198,                  1.083,                0.57739,                  4.121,              0.0010329,              0.0010329,              0.0010329
                     31,                0.44944,                0.44318,                    1.5,                0.93633,                0.93205,                0.96871,                0.64659,                 1.1173,                0.52264,                 4.2939,              0.0010187,              0.0010187,              0.0010187
                     32,                0.44125,                0.43946,                 1.5103,                0.90409,                0.92877,                0.96201,                0.63854,                 1.0918,                0.52676,                  3.898,              0.0010046,              0.0010046,              0.0010046
                     33,                0.44576,                0.43149,                 1.4862,                0.91822,                0.93767,                0.96623,                0.66082,                 1.1122,                 0.5168,                 4.0572,             0.00099044,             0.00099044,             0.00099044
                     34,                 0.4386,                0.41596,                 1.4966,                0.93486,                0.94257,                 0.9603,                0.62129,                 1.1213,                0.52926,                 4.5243,             0.00097629,             0.00097629,             0.00097629
                     35,                0.45413,                0.44377,                 1.5173,                0.92435,                0.94887,                0.96158,                 0.6491,                 1.0905,                0.49942,                 4.1324,             0.00096215,             0.00096215,             0.00096215
                     36,                0.43673,                0.41784,                 1.4838,                0.92975,                0.93283,                0.97353,                0.64864,                 1.0967,                0.48441,                 4.3787,               0.000948,               0.000948,               0.000948
                     37,                 0.4349,                0.41766,                 1.4809,                0.93749,                0.93787,                0.97323,                0.63921,                 1.1101,                0.50082,                 4.4072,             0.00093385,             0.00093385,             0.00093385
                     38,                0.43538,                0.41123,                 1.4813,                0.94412,                0.93929,                0.97031,                0.64881,                  1.104,                0.52926,                  4.487,              0.0009197,              0.0009197,              0.0009197
                     39,                0.43963,                0.41136,                 1.4926,                0.95245,                0.94287,                0.97374,                 0.6609,                 1.1029,                0.49728,                 4.3385,             0.00090556,             0.00090556,             0.00090556
                     40,                0.43776,                0.40988,                 1.4927,                0.92069,                0.95808,                 0.9715,                0.64513,                 1.1168,                0.49617,                 4.4216,             0.00089141,             0.00089141,             0.00089141
                     41,                0.42606,                0.41184,                 1.4892,                0.93634,                0.93541,                0.96389,                0.64821,                 1.0755,                0.52182,                 4.1266,             0.00087726,             0.00087726,             0.00087726
                     42,                0.42586,                0.40637,                  1.474,                0.93597,                0.93439,                0.96285,                0.67119,                 1.0642,                0.49331,                 4.3221,             0.00086312,             0.00086312,             0.00086312
                     43,                0.42876,                0.41082,                 1.4792,                0.92008,                0.95254,                0.95835,                0.64533,                 1.0526,                0.50347,                 4.1756,             0.00084897,             0.00084897,             0.00084897
