                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0522,                 2.3151,                  2.499,                0.63556,                0.76773,                0.70862,                0.41221,                  1.233,                 1.4098,                 3.1158,             0.00047184,             0.00047184,             0.00047184
                      2,                0.76639,                 1.0846,                 2.1768,                0.74124,                 0.8399,                0.84984,                0.52851,                 1.0816,                0.79386,                 3.4309,             0.00093879,             0.00093879,             0.00093879
                      3,                0.73083,                0.87942,                 2.1158,                0.52842,                0.78397,                0.73266,                0.42848,                 1.2358,                 1.1463,                 3.5348,              0.0013963,              0.0013963,              0.0013963
                      4,                0.70182,                0.77564,                 2.0243,                 0.8258,                0.89164,                0.92289,                0.53722,                 1.2205,                 0.7285,                 3.7654,              0.0013866,              0.0013866,              0.0013866
                      5,                0.68084,                0.70209,                 1.9577,                0.84389,                0.89654,                0.92493,                0.59726,                 1.1231,                0.65182,                 3.9604,              0.0013866,              0.0013866,              0.0013866
                      6,                0.64469,                0.69551,                 1.9079,                0.90699,                0.87008,                0.94246,                0.62081,                 1.0437,                0.59513,                 3.5978,              0.0013724,              0.0013724,              0.0013724
                      7,                0.62079,                0.61686,                 1.8984,                0.85525,                 0.8969,                0.92627,                0.61387,                 1.0986,                0.59507,                 3.7441,              0.0013583,              0.0013583,              0.0013583
                      8,                0.60332,                0.61612,                 1.8662,                0.89945,                0.90864,                0.94526,                 0.6154,                 1.1294,                0.56622,                 4.1729,              0.0013441,              0.0013441,              0.0013441
                      9,                0.60005,                0.61483,                 1.8516,                0.88693,                0.90807,                0.94035,                0.62512,                 1.0971,                0.62545,                 3.9712,                0.00133,                0.00133,                0.00133
                     10,                0.58923,                 0.5885,                 1.8647,                0.91814,                0.89585,                0.95624,                0.62891,                 1.1041,                0.56317,                 4.2127,              0.0013158,              0.0013158,              0.0013158
                     11,                0.56962,                0.56885,                 1.8193,                0.90483,                 0.9527,                0.96218,                0.63813,                 1.1561,                0.53612,                  4.416,              0.0013017,              0.0013017,              0.0013017
                     12,                0.55513,                0.54245,                    1.8,                0.93042,                0.93171,                0.96434,                0.63574,                 1.1012,                 0.5372,                  4.469,              0.0012875,              0.0012875,              0.0012875
                     13,                0.55068,                0.55021,                 1.7998,                0.92722,                0.92885,                0.97186,                0.66062,                 1.0897,                0.51928,                  4.583,              0.0012734,              0.0012734,              0.0012734
                     14,                0.54926,                0.53255,                 1.7673,                0.88155,                 0.9199,                0.93817,                0.62189,                 1.1029,                0.60044,                 4.5111,              0.0012592,              0.0012592,              0.0012592
                     15,                 0.5215,                0.50964,                 1.7218,                0.90086,                0.94334,                0.96122,                0.66179,                 1.0087,                0.51498,                  4.283,              0.0012451,              0.0012451,              0.0012451
                     16,                0.53158,                0.51166,                 1.7254,                0.94177,                0.93298,                0.97105,                0.64254,                 1.0795,                0.51985,                 4.6421,              0.0012309,              0.0012309,              0.0012309
                     17,                0.52804,                0.51064,                  1.717,                0.93331,                0.92997,                0.96793,                0.66301,                 1.0442,                0.52138,                 4.4057,              0.0012168,              0.0012168,              0.0012168
                     18,                0.51678,                0.49949,                 1.7361,                0.92708,                0.93007,                0.97133,                0.68518,                 1.0272,                 0.5091,                 4.2686,              0.0012026,              0.0012026,              0.0012026
                     19,                0.51483,                 0.5022,                 1.7282,                0.92818,                0.94767,                0.97125,                0.64753,                 1.1116,                0.50936,                 4.7494,              0.0011885,              0.0011885,              0.0011885
                     20,                0.50045,                0.47893,                 1.6922,                0.94058,                0.93191,                0.96864,                0.62766,                 1.1006,                0.52242,                   4.93,              0.0011744,              0.0011744,              0.0011744
                     21,                0.49682,                0.47183,                 1.6914,                0.92965,                0.95524,                 0.9728,                0.65327,                 1.0446,                0.48544,                 4.5092,              0.0011602,              0.0011602,              0.0011602
                     22,                0.50733,                0.47462,                 1.7389,                0.95837,                0.93826,                0.97616,                 0.6531,                 1.1311,                0.48843,                 4.8345,              0.0011461,              0.0011461,              0.0011461
                     23,                0.48913,                0.47581,                 1.6629,                 0.9309,                0.94884,                0.97578,                0.66672,                  1.075,                0.49724,                 4.6735,              0.0011319,              0.0011319,              0.0011319
                     24,                0.48788,                0.46179,                 1.6759,                0.95475,                0.92368,                0.97476,                0.66894,                 1.0566,                0.50129,                  4.587,              0.0011178,              0.0011178,              0.0011178
                     25,                0.47576,                0.45301,                  1.657,                0.96718,                0.95763,                0.97919,                0.68648,                 1.0488,                0.44577,                 4.5469,              0.0011036,              0.0011036,              0.0011036
                     26,                0.46694,                0.44323,                 1.6369,                0.96053,                0.94048,                0.97603,                0.67948,                 1.0754,                0.47602,                  4.958,              0.0010895,              0.0010895,              0.0010895
                     27,                0.47585,                0.43288,                 1.6368,                0.96505,                0.94483,                0.97873,                0.66963,                 1.0535,                0.47379,                  4.839,              0.0010753,              0.0010753,              0.0010753
                     28,                0.46106,                0.42614,                 1.6542,                0.94448,                0.95345,                0.97756,                0.67936,                  1.024,                0.46906,                 4.5901,              0.0010612,              0.0010612,              0.0010612
                     29,                  0.472,                0.43439,                 1.6416,                0.94348,                0.93952,                0.97003,                0.64844,                 1.0296,                0.50716,                 4.9362,               0.001047,               0.001047,               0.001047
                     30,                0.47623,                 0.4442,                 1.6648,                0.94738,                0.92571,                0.97554,                0.67684,                 1.0612,                0.48487,                 4.6656,              0.0010329,              0.0010329,              0.0010329
                     31,                0.45944,                0.43052,                 1.6317,                  0.954,                0.94386,                0.97249,                0.66134,                  1.035,                0.46885,                 4.9128,              0.0010187,              0.0010187,              0.0010187
                     32,                0.45194,                 0.4288,                 1.6373,                0.96852,                0.94769,                 0.9792,                0.67466,                 1.0317,                0.45835,                 4.6682,              0.0010046,              0.0010046,              0.0010046
                     33,                0.45664,                0.41403,                 1.6219,                0.95912,                0.93876,                0.97229,                0.63805,                 1.0959,                0.49199,                 4.9128,             0.00099044,             0.00099044,             0.00099044
                     34,                0.45582,                0.41993,                 1.6293,                0.96585,                0.95977,                0.97571,                0.67322,                 1.0443,                0.46005,                 4.7063,             0.00097629,             0.00097629,             0.00097629
                     35,                 0.4593,                0.42892,                 1.6391,                0.95213,                0.94431,                0.97512,                0.65855,                 1.0599,                0.47252,                 4.9212,             0.00096215,             0.00096215,             0.00096215
                     36,                0.44953,                0.41452,                 1.6059,                0.96253,                0.96868,                0.97894,                0.66116,                 1.0277,                0.43831,                 4.8689,               0.000948,               0.000948,               0.000948
                     37,                0.44868,                0.41317,                  1.601,                0.96441,                 0.9625,                0.97617,                0.65828,                  1.065,                 0.4645,                 5.2816,             0.00093385,             0.00093385,             0.00093385
                     38,                0.44673,                0.40275,                 1.6102,                0.95535,                 0.9573,                0.97231,                0.64838,                 1.0484,                0.46871,                 5.1083,              0.0009197,              0.0009197,              0.0009197
                     39,                0.45734,                 0.4085,                 1.6407,                0.96149,                0.94159,                  0.973,                0.66701,                 1.0695,                0.47368,                 4.9573,             0.00090556,             0.00090556,             0.00090556
                     40,                0.45482,                0.41636,                 1.6443,                0.94417,                0.95996,                0.97729,                0.69295,                 1.0119,                0.45378,                 4.7712,             0.00089141,             0.00089141,             0.00089141
                     41,                0.44571,                0.41151,                 1.6268,                0.94858,                0.94431,                0.96925,                0.63689,                 1.0709,                0.48739,                 5.1756,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.4391,                0.39707,                 1.5788,                0.93458,                 0.9479,                0.97519,                0.68784,                 1.0416,                0.46619,                 4.9524,             0.00086312,             0.00086312,             0.00086312
                     43,                0.44235,                0.40785,                 1.6142,                0.95897,                  0.954,                0.97628,                 0.6371,                 1.0674,                0.46882,                 5.0386,             0.00084897,             0.00084897,             0.00084897
                     44,                0.43616,                0.38757,                  1.597,                0.95453,                0.94717,                0.97353,                0.66606,                 1.0359,                0.45231,                 4.9482,             0.00083482,             0.00083482,             0.00083482
                     45,                0.43922,                0.39636,                 1.6055,                0.95735,                0.97137,                   0.98,                0.67041,                 1.0611,                0.45355,                 5.1147,             0.00082067,             0.00082067,             0.00082067
                     46,                0.43513,                0.40136,                 1.5655,                0.95897,                0.95857,                0.98087,                 0.6845,                 1.0461,                0.45603,                 5.0421,             0.00080653,             0.00080653,             0.00080653
                     47,                0.41376,                0.37724,                 1.5607,                0.96082,                0.96242,                0.98037,                0.68557,                 1.0552,                0.44334,                 5.1325,             0.00079238,             0.00079238,             0.00079238
                     48,                0.42274,                0.38495,                 1.5661,                0.96165,                0.96234,                0.97573,                0.66369,                 1.0333,                0.45746,                  5.083,             0.00077823,             0.00077823,             0.00077823
                     49,                0.42301,                0.37737,                 1.5627,                0.96808,                0.96603,                0.97502,                0.69191,                 1.0358,                0.45253,                 5.0716,             0.00076409,             0.00076409,             0.00076409
                     50,                0.42201,                0.37549,                  1.569,                0.97099,                0.97117,                0.97856,                0.66547,                 1.0649,                0.45559,                 5.2697,             0.00074994,             0.00074994,             0.00074994
                     51,                0.41285,                0.37011,                 1.5654,                0.96898,                0.95803,                0.97695,                 0.6792,                 1.0435,                0.44389,                   5.26,             0.00073579,             0.00073579,             0.00073579
                     52,                0.41673,                0.37783,                 1.5597,                0.96088,                0.93618,                0.97166,                0.67921,                 1.0426,                0.44901,                 5.0391,             0.00072164,             0.00072164,             0.00072164
                     53,                0.41621,                0.37484,                  1.571,                0.96151,                0.96377,                0.97411,                 0.6785,                 1.0473,                0.43914,                  5.125,              0.0007075,              0.0007075,              0.0007075
                     54,                0.42295,                0.37877,                 1.5935,                0.95751,                0.96574,                 0.9775,                0.68802,                 1.0361,                 0.4345,                 5.1373,             0.00069335,             0.00069335,             0.00069335
                     55,                0.40633,                0.36353,                 1.5617,                0.96857,                  0.948,                0.97677,                0.69274,                 1.0378,                0.43524,                 5.1013,              0.0006792,              0.0006792,              0.0006792
                     56,                0.40053,                0.35702,                 1.5267,                 0.9611,                0.95548,                0.96907,                 0.6613,                  1.046,                0.45085,                 5.1175,             0.00066506,             0.00066506,             0.00066506
                     57,                0.40852,                0.36614,                 1.5572,                0.95732,                  0.966,                0.97967,                0.67689,                 1.0442,                 0.4339,                   5.14,             0.00065091,             0.00065091,             0.00065091
                     58,                0.40536,                0.36664,                 1.5316,                0.95735,                0.94904,                0.97337,                0.66247,                 1.0328,                0.43172,                   5.14,             0.00063676,             0.00063676,             0.00063676
                     59,                 0.4115,                0.36046,                 1.5502,                0.96756,                0.96682,                0.98212,                 0.6691,                 1.0404,                0.43474,                 5.4151,             0.00062262,             0.00062262,             0.00062262
                     60,                0.40424,                0.34659,                 1.5521,                0.98117,                0.96024,                0.97974,                0.69036,                 1.0207,                0.42696,                 5.1773,             0.00060847,             0.00060847,             0.00060847
                     61,                0.40592,                0.36056,                 1.5349,                0.96497,                0.95683,                0.97797,                 0.6617,                 1.0586,                0.44617,                 5.4171,             0.00059432,             0.00059432,             0.00059432
                     62,                0.39861,                0.35424,                 1.5482,                0.96928,                0.95509,                0.97655,                0.68019,                 1.0258,                0.43804,                 5.0999,             0.00058017,             0.00058017,             0.00058017
                     63,                0.39447,                0.34836,                 1.5129,                 0.9587,                0.96076,                0.97567,                0.67177,                 1.0204,                0.43066,                 5.2273,             0.00056603,             0.00056603,             0.00056603
                     64,                 0.4107,                0.35795,                 1.5308,                0.96235,                 0.9587,                 0.9771,                0.68265,                 1.0339,                0.43559,                 5.1684,             0.00055188,             0.00055188,             0.00055188
                     65,                0.39424,                0.34423,                  1.529,                0.96271,                0.95927,                0.98194,                0.69553,                 1.0219,                0.42163,                 5.1311,             0.00053773,             0.00053773,             0.00053773
                     66,                0.38719,                0.34015,                 1.5357,                0.96417,                0.96652,                0.97651,                0.66912,                 1.0283,                0.43289,                  5.138,             0.00052359,             0.00052359,             0.00052359
                     67,                0.38827,                0.33769,                 1.5086,                0.95476,                0.95499,                0.96978,                0.67923,                 1.0294,                0.44131,                 5.2734,             0.00050944,             0.00050944,             0.00050944
                     68,                0.38639,                0.33877,                 1.5157,                0.96135,                0.96572,                 0.9756,                0.70203,                 1.0245,                  0.432,                 5.2897,             0.00049529,             0.00049529,             0.00049529
                     69,                0.38272,                 0.3484,                 1.5131,                0.94889,                 0.9621,                0.97951,                0.66861,                 1.0377,                0.43938,                 5.4056,             0.00048114,             0.00048114,             0.00048114
                     70,                0.38974,                0.35049,                 1.5204,                0.96265,                0.95166,                0.98254,                0.67736,                 1.0477,                0.44514,                 5.3102,               0.000467,               0.000467,               0.000467
                     71,                0.38216,                0.33395,                 1.5021,                0.96844,                0.95964,                0.97875,                0.68618,                 1.0286,                0.43588,                 5.2034,             0.00045285,             0.00045285,             0.00045285
                     72,                0.38236,                0.33697,                 1.5026,                0.96365,                0.95979,                0.97835,                0.66938,                 1.0468,                0.44882,                 5.4827,              0.0004387,              0.0004387,              0.0004387
                     73,                0.38219,                0.33962,                 1.5137,                0.95737,                0.96136,                0.97897,                0.66509,                 1.0435,                0.44093,                 5.4017,             0.00042456,             0.00042456,             0.00042456
                     74,                0.38442,                0.33789,                 1.5208,                0.97312,                0.95493,                0.98065,                0.67771,                 1.0339,                0.43218,                 5.2185,             0.00041041,             0.00041041,             0.00041041
                     75,                0.37718,                0.32592,                 1.5093,                0.96622,                0.96684,                0.97839,                0.67895,                 1.0327,                0.43543,                 5.3716,             0.00039626,             0.00039626,             0.00039626
                     76,                0.38244,                0.33385,                 1.5146,                0.96603,                0.96098,                0.97591,                0.69303,                 1.0285,                0.42965,                 5.3207,             0.00038211,             0.00038211,             0.00038211
                     77,                0.37295,                0.32766,                 1.4817,                0.96538,                0.96575,                0.97596,                0.69754,                 1.0206,                0.42957,                 5.4261,             0.00036797,             0.00036797,             0.00036797
                     78,                0.36703,                0.32116,                 1.4966,                0.96697,                0.95171,                0.97717,                0.67008,                 1.0582,                0.45648,                 5.5313,             0.00035382,             0.00035382,             0.00035382
                     79,                0.37106,                0.32459,                 1.4824,                 0.9565,                0.95785,                0.97554,                0.67753,                 1.0455,                0.44803,                 5.6635,             0.00033967,             0.00033967,             0.00033967
                     80,                0.37703,                 0.3276,                 1.5067,                  0.964,                0.96828,                0.97382,                0.67132,                 1.0275,                0.43263,                 5.4436,             0.00032553,             0.00032553,             0.00032553
                     81,                0.37131,                 0.3219,                 1.5122,                0.95948,                0.95667,                0.97374,                0.68096,                 1.0393,                0.44098,                 5.4726,             0.00031138,             0.00031138,             0.00031138
                     82,                0.35956,                0.31153,                 1.4728,                0.97242,                0.96045,                 0.9779,                0.67267,                  1.041,                0.43231,                 5.4173,             0.00029723,             0.00029723,             0.00029723
                     83,                0.36463,                0.31499,                 1.4962,                0.94829,                0.97528,                0.97728,                0.68579,                 1.0258,                0.43469,                 5.4389,             0.00028308,             0.00028308,             0.00028308
                     84,                0.36011,                0.31568,                 1.4706,                0.95641,                0.95679,                0.97166,                0.67911,                 1.0386,                0.43835,                 5.4208,             0.00026894,             0.00026894,             0.00026894
                     85,                0.36563,                0.31302,                 1.4781,                0.96525,                0.95613,                0.97509,                0.68562,                 1.0319,                0.43667,                 5.4039,             0.00025479,             0.00025479,             0.00025479
                     86,                0.36066,                  0.316,                 1.4973,                0.96332,                0.96446,                0.97264,                0.66611,                 1.0254,                0.43636,                 5.3327,             0.00024064,             0.00024064,             0.00024064
                     87,                0.36539,                0.32043,                 1.4752,                0.96276,                  0.961,                0.97618,                0.66749,                 1.0456,                0.44116,                 5.5898,              0.0002265,              0.0002265,              0.0002265
                     88,                0.36157,                0.30861,                 1.4899,                0.96734,                0.95749,                0.97646,                0.68053,                 1.0303,                 0.4314,                 5.4179,             0.00021235,             0.00021235,             0.00021235
                     89,                0.35917,                0.30587,                 1.4928,                0.96608,                0.95713,                0.97374,                0.66932,                 1.0245,                0.43979,                 5.4586,              0.0001982,              0.0001982,              0.0001982
                     90,                0.35236,                0.30374,                 1.4721,                0.96002,                0.95453,                 0.9761,                0.68212,                 1.0369,                0.44658,                 5.6012,             0.00018406,             0.00018406,             0.00018406
                     91,                0.27321,                0.22562,                 1.2124,                0.95663,                0.96443,                0.97501,                0.66995,                 1.0353,                0.43238,                 5.6146,             0.00016991,             0.00016991,             0.00016991
                     92,                0.27321,                0.22243,                 1.2127,                 0.9561,                0.96616,                0.97373,                0.68915,                  1.021,                0.43214,                 5.5131,             0.00015576,             0.00015576,             0.00015576
                     93,                0.27143,                0.22284,                 1.2044,                 0.9668,                0.96523,                0.97664,                0.67813,                  1.024,                0.42886,                  5.673,             0.00014161,             0.00014161,             0.00014161
                     94,                0.26407,                0.21503,                 1.1961,                 0.9674,                0.96628,                0.97835,                0.68616,                  1.024,                0.42374,                 5.7105,             0.00012747,             0.00012747,             0.00012747
                     95,                0.26296,                0.21222,                 1.1846,                0.96808,                0.97254,                0.97788,                0.69581,                  1.013,                0.41528,                 5.5229,             0.00011332,             0.00011332,             0.00011332
                     96,                0.26147,                 0.2118,                 1.1705,                 0.9705,                  0.965,                0.97756,                0.69924,                 1.0192,                0.42164,                 5.6913,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.25937,                0.21105,                 1.1666,                0.95887,                0.96012,                0.97903,                0.70153,                 1.0145,                0.43337,                 5.6377,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.26142,                0.21176,                 1.1742,                0.96293,                0.95824,                0.97811,                0.69598,                 1.0225,                0.42423,                 5.5944,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.25086,                0.20555,                 1.1491,                0.95726,                0.96603,                0.97876,                 0.6969,                 1.0192,                0.42714,                 5.6802,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.25096,                0.20758,                 1.1672,                0.95838,                0.97051,                0.97938,                0.69383,                 1.0182,                 0.4254,                 5.6838,             4.2584e-05,             4.2584e-05,             4.2584e-05
